Created,Address,Amount,Release Time
27.02.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,1000.0,27.02.2023
14.03.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,4515.0,08.03.2024
11.04.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,10.0,12.04.2023
11.04.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,20.0,13.04.2023
11.04.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,9260.0,04.04.2024
20.04.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,18360.0,17.04.2024
25.04.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,73459.0,14.04.2024
07.06.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,4486.0,30.05.2024
09.06.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,9600.0,06.06.2024
12.06.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,3868.0,11.05.2024
28.06.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,4780.0,28.06.2024
26.07.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,4672.0,10.07.2023
26.07.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,18568.0,13.07.2023
26.07.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,9276.0,29.06.2023
07.09.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,3620.0,04.09.2024
11.09.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,9044.0,10.09.2024
11.09.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,9468.0,30.07.2024
29.09.2023,0xd45aF2ef1E565EFc6799e4a61DB769FfD482ab35,8792.0,24.09.2024
03.10.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,5380.0,10.09.2024
07.10.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,8792.0,05.10.2024
11.10.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,8960.0,27.09.2024
25.10.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,8772.0,01.10.2024
25.10.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,8652.0,24.10.2024
25.10.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,4316.0,24.10.2024
25.10.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,8572.0,24.10.2024
02.11.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,12828.0,30.10.2024
02.11.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,4304.0,30.10.2024
02.11.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,4452.0,30.10.2024
06.11.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,8602.0,02.11.2024
08.11.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,3616.0,03.04.2024
21.11.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,8956.0,20.11.2024
24.11.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,7428.0,23.11.2024
28.11.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,4496.0,23.11.2024
01.12.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,8628.0,23.11.2023
01.12.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,3500.0,23.11.2024
01.12.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,9080.0,30.11.2024
03.12.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,3444.0,13.11.2024
13.12.2023,0x66F9bDdF62aCdE30b01041Fad528F378D14363c8,9020.0,08.12.2024
